# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Feb 13 14:59:50 2013
#
#rowid	kepid	kepoi_name	koi_pdisposition	koi_disposition	koi_period	koi_time0bk	koi_depth	koi_duration	koi_ingress	koi_impact	koi_incl	koi_sma	koi_eccen	koi_longp	koi_dor	koi_ror	koi_prad	koi_teq	koi_steff	koi_slogg	koi_srad	koi_smet	koi_smass	koi_sage	koi_vet_stat
650	9851226	K01468.01	FALSE POSITIVE	FALSE POSITIVE	8.48050200	135.8423000	1410	5.9119		0.8800	80.79	0.081	0		5.570000	0.04204	4.50	914.0	5934.00	4.440	0.9900			4.0000	Active
651	8692861	K00172.01	CANDIDATE	CANDIDATE	13.72234100	137.8408000	589	5.1457		0.5040	88.24	0.112	0		18.100000	0.02260	2.21	734.0	5886.00	4.540	0.9000			0.4000	Active
652	7543649	K01469.01	FALSE POSITIVE	FALSE POSITIVE	3.58206780	355.5155600	1437	3.3580		0.0080	89.95	0.047	0		8.485000	0.03400	4.00	1227.0	5847.00	4.420	1.0600				Active
653	9480310	K01470.01	CANDIDATE	CANDIDATE	15.43410000	363.2925000	1780	4.1593		0.5800	88.81	0.122	0		24.500000	0.04000	3.50	634.0	5645.00	4.650	0.7900				Active
654	11858748	K01471.01	FALSE POSITIVE	FALSE POSITIVE	1.78097620	177.8266000	714	2.0871		0.6300	83.65	0.028	0		5.500000	0.02790	2.60	1382.0	5705.00	4.560	0.8400			0.5000	Active
655	7761545	K01472.01	CANDIDATE	CANDIDATE	85.35172000	161.0049000	4834	7.1533		0.6840	89.38	0.371	0		75.000000	0.06770	6.10	372.0	5638.00	4.570	0.8300			0.5000	Active
656	7499398	K01473.01	CANDIDATE	CANDIDATE	23.02027000	357.7845000	4664	3.7264		0.8590	88.24	0.158	0		30.400000	0.07290	7.00	563.0	5396.00	4.540	0.8900				Active
657	12365184	K01474.01	CANDIDATE	CANDIDATE	69.73297000	196.0634400	4439	3.8269		0.2700	89.95	0.363	0		143.000000	0.06140	9.30	543.0	6293.00	4.270	1.3900			1.9000	Active
658	4770365	K01475.01	CANDIDATE	CANDIDATE	1.60930590	178.9456000	674	1.5542		0.4200	86.52	0.022	0		7.400000	0.02370	1.44	946.0	4265.00	4.710	0.5560			13.9000	Active
659	8197343	K01746.01	CANDIDATE	CANDIDATE	11.79174000	134.5391000	405	2.9445		0.1000	89.95	0.102	0		31.000000	0.01850	1.86	793.0	5973.00	4.520	0.9300			0.4000	Active
660	7032421	K01747.01	CANDIDATE	CANDIDATE	20.55873000	133.0026000	549	1.2192		0.3300	89.95	0.143	0		124.000000	0.02100	1.90	588.0	5590.00	4.580	0.8100			0.5000	Active
661	6786348	K01749.01	CANDIDATE	CANDIDATE	26.96447000	145.3414000	585	3.9012		0.6400	89.38	0.173	0		42.000000	0.02320	2.10	555.0	5697.00	4.560	0.8400			0.4000	Active
662	6209677	K01750.01	CANDIDATE	CANDIDATE	7.76855000	138.0537330	198	3.2786		0.0392	89.95	0.075	0		18.328267	0.01280	1.30	906.0	5800.00	4.470	0.9400			4.8000	Active
663	9729691	K01751.01	CANDIDATE	CANDIDATE	8.68929800	133.6614000	1128	2.7421		0.7400	87.66	0.076	0		17.500000	0.03340	2.90	729.0	5145.00	4.530	0.7900			13.9000	Active
664	9729691	K01751.02	CANDIDATE	CANDIDATE	20.99433000	132.1084000	1081	2.6931		0.8900	88.24	0.136	0		32.000000	0.03640	3.10	545.0	5145.00	4.530	0.7900			13.9000	Active
665	4950232	K01753.01	FALSE POSITIVE	FALSE POSITIVE	0.97944400	132.4200300	583	1.0165		0.0300	89.95	0.019	0		8.270000	0.02653	1.89	1379.0	5327.00	4.780	0.6500				Active
666	10904857	K00194.01	FALSE POSITIVE	FALSE POSITIVE	3.12082927	139.4654600	16305	2.0121		0.7900	84.80	0.043	0		8.820000	0.13294	14.20	1287.0	6115.00	4.490	0.9800			0.3000	Active
667	8651389	K01754.01	CANDIDATE	CANDIDATE	15.13580000	146.5836000	272	3.5838		0.9830	84.22	0.116	0		9.500000	0.02560	2.54	705.0	5705.00	4.474	0.9110				Active
668	6705142	K01758.01	CANDIDATE	CANDIDATE	5.59716300	131.8757000	798	1.8520		0.6000	88.24	0.060	0		19.200000	0.02700	1.50	693.0	5410.00	4.980	0.5100				Active
669	3967760	K01760.01	CANDIDATE	CANDIDATE	5.52423300	135.6209000	492	2.6311		0.6700	87.09	0.057	0		12.400000	0.02140	2.00	918.0	5372.00	4.480	0.8600			11.6000	Active
670	3967760	K01760.02	CANDIDATE	CANDIDATE	8.77514000	133.7028000	367	3.1895		0.6200	87.66	0.078	0		16.900000	0.01820	1.70	785.0	5372.00	4.480	0.8600			11.6000	Active
671	4067336	K01761.01	CANDIDATE	CANDIDATE	10.12748000	135.2644000	945	1.8900		1.0300	85.37	0.096	0		12.600000	0.07700	9.10	942.0	6361.00	4.430	1.0800			0.3000	Active
672	5387843	K01762.01	CANDIDATE	CANDIDATE	0.87069700	132.0825600	459	1.2996		0.8000	76.20	0.018	0		3.400000	0.02170	2.23	1915.0	6010.00	4.510	0.9400			0.3000	Active
673	11904734	K01764.01	FALSE POSITIVE	FALSE POSITIVE	12.68172200	132.6819500	5272	2.0853		0.9000	88.81	0.096	0		36.600000	0.08780	7.00	611.0	5016.00	4.570	0.7300			14.0000	Active
674	8043714	K01765.01	FALSE POSITIVE	FALSE POSITIVE	6.81498680	134.2115600	23089	2.7739		0.8070	86.52	0.067	0		14.351000	0.16226	14.10	827.0	5437.00	4.570	0.8000			3.2000	Active
675	7918217	K01770.01	FALSE POSITIVE	FALSE POSITIVE	63.93329000	162.8672000	2455	8.9983		1.3200	85.37	0.186	0		15.400000	0.38000	11.10	172.0	3240.00	4.897	0.2700				Active
676	10153011	K01773.01	CANDIDATE	CANDIDATE	83.09699000	162.9346000	15089	9.1123		1.3200	88.24	0.351	0		43.200000	0.46000	44.00	380.0	5445.00	4.470	0.8800			10.9000	Active
677	9631995	K00022.01	CANDIDATE	CANDIDATE	7.89145020	177.2490360	10348	3.7932		0.1720	89.38	0.081	0		17.160000	0.09282	11.27	976.0	5972.00	4.410	1.1120			1.5000	Active
678	11502867	K00195.01	CANDIDATE	CANDIDATE	3.21752044	133.6310210	14393	2.1160		0.6420	86.52	0.042	0		10.630000	0.11573	11.70	1215.0	5866.00	4.500	0.9300			2.7000	Active
679	3247268	K01089.01	CANDIDATE	CANDIDATE	86.67831000	175.5964600	8117	10.1137		0.3810	89.95	0.393	0		66.400000	0.08364	9.70	447.0	6166.00	4.420	1.0600			2.1000	Active
680	3247268	K01089.02	CANDIDATE	CANDIDATE	12.21825500	140.3205000	1807	2.8912		0.8850	87.09	0.106	0		18.000000	0.04552	5.30	860.0	6166.00	4.420	1.0600			2.1000	Active
681	3232859	K01090.01	FALSE POSITIVE	FALSE POSITIVE	8.38721510	138.9023700	5402	1.8460		0.9600	87.09	0.084	0		19.500000	0.10100	11.70	987.0	6278.00	4.430	1.0700			0.8600	Active
682	3098184	K01091.01	FALSE POSITIVE	FALSE POSITIVE	15.23865000	369.5734000	12834	13.5338		1.3800	72.19	0.123	0		4.500000	0.52000	45.00	690.0	6164.00	4.670	0.7900				Active
683	2720309	K01092.01	FALSE POSITIVE	FALSE POSITIVE	0.41333424	133.2118500	1644	1.4205		0.0120	89.95	0.011	0		2.118000	0.03724	3.70	2351.0	5890.00	4.530	0.9000			0.6000	Active
684	4180280	K00144.01	CANDIDATE	CANDIDATE	4.17625990	133.0894800	1363	3.6210		0.5960	85.37	0.048	0		7.490000	0.03484	3.03	890.0	4955.00	4.570	0.7950			4.5000	Active
685	3239636	K01093.01	FALSE POSITIVE	FALSE POSITIVE	0.52875000	133.3850800	422	3.5648		0.0009	89.95	0.014	0		1.363200	0.01951	2.49	2637.0	6541.00	4.390	1.1700			0.3600	Active
686	2721030	K01094.01	CANDIDATE	CANDIDATE	6.10029500	135.5846000	781	5.0691		0.8170	81.93	0.066	0		5.810000	0.02862	2.90	975.0	5938.00	4.520	0.9100			0.3000	Active
687	3329204	K01095.01	CANDIDATE	CANDIDATE	51.59845000	203.9774000	6372	2.5806		0.9260	89.38	0.266	0		89.000000	0.09400	8.50	442.0	5664.00	4.570	0.8300			0.4000	Active
688	3230491	K01096.01	CANDIDATE	CANDIDATE	414.00000000	315.3300000	8640	7.0464		0.9280	89.95	1.062	0		277.000000	0.11400	10.30	219.0	5632.00	4.570	0.8300			0.5000	Active
689	3340070	K01097.01	FALSE POSITIVE	FALSE POSITIVE	10.91081000	142.5357500	561	4.0302		0.0046	89.95	0.097	0		21.160000	0.02152	2.13	799.0	5919.00	4.530	0.9100			0.3000	Active
690	3240706	K01098.01	FALSE POSITIVE	FALSE POSITIVE	5.48986300	134.1084000	543	2.8388		0.0400	89.95	0.061	0		15.100000	0.02210	2.20	1016.0	5952.00	4.520	0.9100			0.3000	Active
691	2853093	K01099.01	CANDIDATE	CANDIDATE	161.52660000	198.0015000	4721	3.6648		0.0287	89.95	0.581	0		358.000000	0.06240	6.10	321.0	5876.00	4.540	0.8900			0.4000	Active
692	3228824	K01100.01	FALSE POSITIVE	FALSE POSITIVE	0.73093680	355.9026000	380	2.6899		0.6900	64.74	0.015	0		1.600000	0.02370	1.88	1413.0	4606.00	4.600	0.7300				Active
693	3245969	K01101.01	CANDIDATE	CANDIDATE	2.84796000	134.8180000	140	1.0313		0.8800	85.37	0.036	0		10.800000	0.01290	0.93	933.0	4931.00	4.670	0.6630			1.0000	Active
694	3231341	K01102.01	CANDIDATE	CONFIRMED	12.33354000	137.5799000	492	5.0692		0.8730	84.80	0.105	0		9.970000	0.02344	2.90	870.0	6043.00	4.350	1.1200			5.2000	Active
695	9904059	K00145.01	FALSE POSITIVE	FALSE POSITIVE	102.96670000	158.0681000	1800	14.7382		0.8500	88.24	0.476	0		32.500000	0.04512	15.20	566.0	5043.00	3.590	3.0900			3.9400	Active
696	3231341	K01102.02	CANDIDATE	CONFIRMED	8.14503500	140.5744000	442	4.0842		0.8960	83.08	0.080	0		7.560000	0.02262	2.80	997.0	6043.00	4.350	1.1200			5.2000	Active
697	10599397	K01285.01	FALSE POSITIVE	FALSE POSITIVE	0.93744400	134.7185200	4971	1.9388		0.7600	75.06	0.019	0		2.930000	0.07070	7.00	1606.0	5278.00	4.520	0.9000				Active
698	10879208	K01286.01	FALSE POSITIVE	FALSE POSITIVE	0.66848417	178.2802500	3236	1.5218		1.3000		0.014	0		1.070000	0.37000	32.00	1845.0	5529.00	4.590	0.8000			0.5000	Active
699	10843203	K01287.01	FALSE POSITIVE	FALSE POSITIVE	4.42998500	355.1178100	3661	2.5219		1.3400	74.48	0.052	0		5.100000	0.41000	39.00	921.0	5144.00	4.550	0.8600				Active
700	10790387	K01288.01	CANDIDATE	CANDIDATE	117.93119000	219.7033100	8497	5.7641		0.5600	89.95	0.495	0		146.000000	0.08780	10.87	427.0	6392.00	4.390	1.1340			1.0600	Active
701	10748393	K01289.01	FALSE POSITIVE	FALSE POSITIVE	4.88780330	354.5387600	3057	2.3067		0.0400	89.95	0.055	0		17.100000	0.04900	4.80	899.0	5088.00	4.520	0.8800				Active
702	10874226	K01290.01	FALSE POSITIVE	FALSE POSITIVE	11.97361900	144.7782000	3422	3.2667		1.3500	81.36	0.106	0		9.100000	0.41000	45.00	838.0	6168.00	4.470	1.0000			0.4000	Active
703	10661771	K01291.01	FALSE POSITIVE	FALSE POSITIVE	1.23136370	133.0364500	1029	4.1293		0.9800		0.023	0		0.659000	0.05130	5.60	1743.0	5979.00	4.430	1.0000			3.8000	Active
704	10924853	K01292.01	FALSE POSITIVE	FALSE POSITIVE	2.10241150	134.3951500	1721	1.3293		1.1700	71.05	0.032	0		3.600000	0.22000	22.00	1420.0	5983.00	4.520	0.9300			0.4000	Active
705	10874926	K01293.01	FALSE POSITIVE	FALSE POSITIVE	11.70310600	133.7209700	4050	1.9065		1.3400	85.94	0.102	0		18.900000	0.41000	42.00	799.0	5986.00	4.510	0.9300			0.5000	Active
706	10549562	K01294.01	FALSE POSITIVE	FALSE POSITIVE	9.08943000	139.0805100	922	4.5735		0.0018	89.95	0.093	0		15.530000	0.02709	3.70	1088.0	6739.00	4.360	1.2500			0.2300	Active
707	10874614	K00017.01	CANDIDATE	CONFIRMED	3.23469955	121.4857990	10634	3.6016		0.0290	89.95	0.045	0		7.530000	0.09373	11.07	1260.0	5826.00	4.420	1.0820			1.3000	Active
708	6541920	K00157.03	CANDIDATE	CONFIRMED	31.99547000	154.1610000	1343	4.2748		0.7350	88.81	0.196	0		42.000000	0.03620	4.18	583.0	5685.00	4.380	1.0600			7.2000	Active
709	10666230	K01295.01	FALSE POSITIVE	FALSE POSITIVE	1.57780050	133.3072200	649	1.6158		0.0220	89.95	0.027	0		7.820000	0.02379	2.60	1656.0	6167.00	4.470	1.0000			0.4000	Active
710	10971674	K01296.01	FALSE POSITIVE	FALSE POSITIVE	2.38086246	135.3246100	34098	4.0630		0.6270	81.93	0.034	0		4.383900	0.17778	21.90	1479.0	5817.00	4.310	1.1300			9.2000	Active
711	10676923	K01297.01	FALSE POSITIVE	FALSE POSITIVE	1.03109000	133.9405900	329	2.3073		0.0036	89.95	0.021	0		3.615000	0.01754	2.13	2041.0	6361.00	4.410	1.1100			0.9100	Active
712	10604335	K01298.01	CANDIDATE	CANDIDATE	11.00812100	143.2271000	1404	2.3760		0.9360	86.52	0.082	0		16.400000	0.04480	2.77	501.0	4327.00	4.710	0.5660			14.0000	Active
713	10604335	K01298.02	CANDIDATE	CANDIDATE	92.73880000	173.3150000	1071	6.7378		0.8100	89.38	0.337	0		68.000000	0.03380	2.09	247.0	4327.00	4.710	0.5660			14.0000	Active
714	10864656	K01299.01	CANDIDATE	CANDIDATE	52.50128000	171.5181000	914	14.7951		0.0380	89.95	0.303	0		27.800000	0.02683	9.60	735.0	5061.00	3.530	3.2900			3.8700	Active
715	4770365	K01475.02	CANDIDATE	CANDIDATE	9.51212300	185.4813000	1125	2.8825		0.3800	89.38	0.074	0		24.200000	0.03020	1.83	516.0	4265.00	4.710	0.5560			13.9000	Active
716	4770365	K01475.03	CANDIDATE	CANDIDATE	4.72934400	132.9467000	377	1.8565		0.6600	87.66	0.046	0		15.200000	0.01880	1.14	654.0	4265.00	4.710	0.5560			13.9000	Active
717	12406749	K01476.01	CANDIDATE	CANDIDATE	56.36391000	222.2901000	2640	5.6256		0.4000	89.95	0.273	0		74.000000	0.04700	4.30	420.0	5450.00	4.530	0.8300			7.2000	Active
718	8692861	K00172.02	CANDIDATE	CANDIDATE	242.46880000	150.8670000	275	12.3067		0.6030	89.95	0.762	0		123.000000	0.01578	1.54	281.0	5886.00	4.540	0.9000			0.4000	Active
719	7811397	K01477.01	CANDIDATE	CANDIDATE	339.07810000	228.9321000	12792	7.6276		0.5400	89.95	0.916	0		327.000000	0.10610	9.10	224.0	5482.00	4.600	0.7900			0.5000	Active
720	12403119	K01478.01	CANDIDATE	CANDIDATE	76.13354000	199.4848500	2973	8.0205		0.0200	89.95	0.342	0		76.000000	0.04905	5.26	410.0	5493.00	4.417	0.9820			9.4000	Active
721	9842890	K01479.01	FALSE POSITIVE	FALSE POSITIVE	4.98824000	358.2289000	607	7.7387		0.6430	80.79	0.058	0		4.000000	0.02366	2.17	938.0	5583.00	4.600	0.8400				Active
722	7512982	K01480.01	CANDIDATE	CANDIDATE	20.38164000	142.3172000	1488	3.9163		0.5200	89.38	0.135	0		35.700000	0.03580	2.70	511.0	5097.00	4.650	0.7000			0.7000	Active
723	7512982	K01480.02	CANDIDATE	CANDIDATE	7.00433000	137.9070000	241	2.5753		0.5700	88.24	0.066	0		17.500000	0.01450	1.10	730.0	5097.00	4.650	0.7000			0.7000	Active
724	9597806	K01481.01	CANDIDATE	CANDIDATE	5.10137000	357.4816000	858	2.6206		0.7900	85.37	0.059	0		9.800000	0.02980	3.20	1013.0	5620.00	4.470	0.9900				Active
725	7812167	K01482.01	FALSE POSITIVE	FALSE POSITIVE	17.79324000	365.3562000	1252	2.9800		1.2400	83.65	0.137	0		11.500000	0.28000	30.00	712.0	6032.00	4.490	0.9800				Active
726	11760959	K01484.01	CANDIDATE	CANDIDATE	3.47019400	356.1000000	679	2.4037		0.5100	87.09	0.042	0		9.800000	0.02400	2.08	912.0	4753.00	4.560	0.7900				Active
727	9692345	K01485.01	FALSE POSITIVE	FALSE POSITIVE	0.68789570	133.6618900	532	2.5116		0.6900	65.32	0.013	0		1.660000	0.02610	1.70	1340.0	4482.00	4.680	0.5970			13.7000	Active
728	7898352	K01486.01	CANDIDATE	CANDIDATE	127.28144000	163.8929000	8250	7.2053		0.8360	89.38	0.499	0		95.800000	0.09620	9.70	357.0	5952.00	4.520	0.9200			0.5000	Active
729	11402995	K00173.01	CANDIDATE	CANDIDATE	10.06079100	138.9677000	453	4.4787		0.0500	89.95	0.091	0		17.500000	0.01934	2.48	905.0	5706.00	4.290	1.1800			9.1000	Active
730	11547505	K01655.01	CANDIDATE	CANDIDATE	0.93847040	135.5996400	220	1.3268		0.6300	81.93	0.019	0		4.400000	0.01426	1.53	1866.0	5885.00	4.440	0.9800			4.7000	Active
731	4471747	K01656.01	CANDIDATE	CANDIDATE	51.39000000	145.3200000	434	5.4233		0.5600	89.38	0.274	0		62.000000	0.01970	2.20	521.0	6076.00	4.420	1.0400			2.9000	Active
732	5972334	K00191.01	CANDIDATE	CANDIDATE	15.35877940	132.3841000	14611	4.1921		0.5950	88.81	0.118	0		26.400000	0.11520	11.00	685.0	5696.00	4.520	0.8800			3.4000	Active
733	4650733	K01659.01	CANDIDATE	CANDIDATE	29.53838000	143.9231000	445	4.3261		0.7600	88.81	0.200	0		35.000000	0.02110	2.70	694.0	6530.00	4.390	1.1600			0.2800	Active
734	4830605	K01660.01	CANDIDATE	CANDIDATE	35.63800000	164.1591000	457	4.6938		0.4400	89.38	0.213	0		53.000000	0.01990	1.98	543.0	5943.00	4.530	0.9100			0.3000	Active
735	4832197	K01661.01	FALSE POSITIVE	FALSE POSITIVE	0.94773364	137.1286500	12638	1.8831		1.4900	25.21	0.020	0		1.640000	0.60000	95.00	2386.0	6338.00	4.190	1.4600			3.6500	Active
736	4844004	K01662.01	CANDIDATE	CANDIDATE	0.78402620	133.3841600	341	0.9039		0.8100	79.07	0.016	0		4.200000	0.01950	1.63	1641.0	5388.00	4.610	0.7600			0.6000	Active
737	4932442	K01665.01	CANDIDATE	CANDIDATE	6.93380000	137.0654000	114	4.5793		0.8030	83.65	0.073	0		7.200000	0.01088	1.15	985.0	6119.00	4.490	0.9700			0.3000	Active
738	4932442	K01665.02	CANDIDATE	CANDIDATE	5.91461000	137.1250000	68	3.2063		0.9020	81.93	0.065	0		6.400000	0.00902	0.96	1044.0	6119.00	4.490	0.9700			0.3000	Active
739	5183357	K01669.01	CANDIDATE	CANDIDATE	61.03900000	175.1682000	411	8.4774		0.0304	89.95	0.319	0		56.000000	0.01855	2.23	523.0	6382.00	4.420	1.1000			0.5000	Active
740	5269467	K01672.01	CANDIDATE	CANDIDATE	33.86736000	137.5187000	912	3.6290		0.6000	89.38	0.176	0		59.000000	0.02850	1.89	372.0	4539.00	4.670	0.6080			13.9000	Active
741	5360920	K01675.01	CANDIDATE	CANDIDATE	14.62430000	144.4489000	1201	1.7868		1.0500	87.09	0.116	0		20.500000	0.09700	9.10	696.0	5782.00	4.550	0.8600			0.4000	Active
742	5526717	K01677.01	CANDIDATE	CANDIDATE	52.06986000	178.1478000	513	3.3594		0.8300	89.38	0.269	0		71.000000	0.02350	2.18	449.0	5724.00	4.560	0.8500			0.4000	Active
743	5972334	K00191.02	CANDIDATE	CANDIDATE	2.41839850	132.5054000	664	2.0722		0.5560	85.94	0.034	0		7.700000	0.02426	2.30	1277.0	5696.00	4.520	0.8800			3.4000	Active
744	5526717	K01677.02	CANDIDATE	CANDIDATE	8.51170000	131.7560000	91	2.9015		0.3600	88.81	0.080	0		21.100000	0.00871	0.81	823.0	5724.00	4.560	0.8500			0.4000	Active
745	5530882	K01680.01	FALSE POSITIVE	FALSE POSITIVE	5.08260000	132.9518000	96	3.2027		0.0725	89.38	0.057	0		12.230000	0.01024	0.95	970.0	5706.00	4.560	0.8500			0.5000	Active
746	5531953	K01681.01	CANDIDATE	CANDIDATE	6.93922800	138.3317000	619	2.2104		0.3200	89.38	0.057	0		23.000000	0.02260	1.24	510.0	3891.00	4.750	0.5030			13.8000	Active
747	6034945	K01683.01	CANDIDATE	CANDIDATE	9.11513000	133.9690000	307	4.5734		0.4600	88.24	0.085	0		13.800000	0.01637	1.80	900.0	5919.00	4.420	1.0100			5.0000	Active
748	6048024	K01684.01	CANDIDATE	CANDIDATE	62.81557000	151.4776000	1640	2.5694		0.9900	89.38	0.326	0		72.000000	0.06100	7.30	516.0	6387.00	4.430	1.0900			0.2500	Active
749	6049190	K01685.01	CANDIDATE	CANDIDATE	70.46540000	189.1697000	915	6.8268		0.6900	89.38	0.354	0		60.000000	0.02950	3.60	506.0	6450.00	4.420	1.1200			0.2400	Active
750	6149553	K01686.01	CANDIDATE	CANDIDATE	56.86720000	157.2620000	631	4.2265		0.7200	89.38	0.231	0		75.000000	0.02470	1.33	246.0	3815.00	4.760	0.4940			13.9000	Active
751	3231341	K01102.03	CANDIDATE	CANDIDATE	18.99835000	144.7456000	445	3.8953		0.9610	85.94	0.140	0		13.300000	0.02480	3.00	754.0	6043.00	4.350	1.1200			5.2000	Active
752	3231341	K01102.04	CANDIDATE	CANDIDATE	4.24436300	137.0682000	163	3.1626		0.8990	79.64	0.052	0		4.900000	0.01374	1.70	1237.0	6043.00	4.350	1.1200			5.2000	Active
753	2860866	K01103.01	CANDIDATE	CANDIDATE	90.13860000	356.1924000	2740	12.2481		0.8340	88.81	0.408	0		36.200000	0.05405	5.80	432.0	6288.00	4.500	0.9900				Active
754	2851100	K01104.01	FALSE POSITIVE	FALSE POSITIVE	0.89011010	133.2643000	417	0.8871		0.0300	89.95	0.016	0		8.300000	0.02450	1.65	1287.0	4696.00	4.700	0.6180			0.9000	Active
755	3130300	K01105.01	FALSE POSITIVE	FALSE POSITIVE	5.76565000	133.3177000	392	2.7349		0.0167	89.95	0.066	0		16.560000	0.01917	2.20	1105.0	6282.00	4.450	1.0500			0.2000	Active
756	3240158	K01106.01	CANDIDATE	CANDIDATE	7.42599200	139.9072000	549	4.0084		0.6400	86.52	0.077	0		11.300000	0.02269	2.50	996.0	6215.00	4.470	1.0200			0.3000	Active
757	3240158	K01106.02	CANDIDATE	CANDIDATE	15.98467000	137.6611000	425	5.2164		0.6300	88.24	0.128	0		18.800000	0.01994	2.20	773.0	6215.00	4.470	1.0200			0.3000	Active
758	3228959	K01107.01	FALSE POSITIVE	FALSE POSITIVE	0.73095000	133.6823500	168	2.9873		0.0369	88.81	0.016	0		2.017000	0.01728	1.71	1970.0	5926.00	4.530	0.9100			0.3000	Active
759	3218908	K01108.01	CANDIDATE	CANDIDATE	18.92532000	149.4945000	677	3.9677		0.8260	87.66	0.135	0		22.200000	0.02690	2.40	598.0	5552.00	4.580	0.8100			0.5000	Active
760	9048161	K00146.01	FALSE POSITIVE	FALSE POSITIVE	8.66784100	137.3400000	2578	4.1697		1.0100	79.64	0.092	0		5.700000	0.10300	23.40	1326.0	6302.00	3.930	2.0900			3.0800	Active
761	3218908	K01108.02	CANDIDATE	CANDIDATE	1.47531600	131.8356000	145	2.3363		0.5800	81.93	0.025	0		4.100000	0.01144	1.01	1390.0	5552.00	4.580	0.8100			0.5000	Active
762	3218908	K01108.03	FALSE POSITIVE	FALSE POSITIVE	4.15238600	134.5916000	207	2.8715		0.7100	84.80	0.049	0		8.100000	0.01410	1.24	993.0	5552.00	4.580	0.8100			0.5000	Active
763	3235672	K01109.01	CANDIDATE	CANDIDATE	6.72108000	134.7780000	93	7.4645		0.8240	78.50	0.064	0		4.100000	0.01000	0.90	832.0	5255.00	4.500	0.8000			13.9000	Active
764	2837111	K01110.01	CANDIDATE	CANDIDATE	8.73477000	135.0856000	279	4.4921		0.0200	89.95	0.083	0		15.100000	0.01600	1.62	876.0	5945.00	4.510	0.9300			0.9000	Active
765	3120276	K01111.01	FALSE POSITIVE	FALSE POSITIVE	10.26551000	136.4956000	396	3.6284		0.2100	89.38	0.091	0		21.600000	0.01810	1.65	760.0	5674.00	4.570	0.8400			0.4000	Active
766	10975146	K01300.01	CANDIDATE	CANDIDATE	0.63132980	133.9446400	450	1.0875		0.4500	83.65	0.012	0		4.100000	0.01970	1.34	1461.0	4602.00	4.660	0.6220			13.9000	Active
767	10538176	K01301.01	CANDIDATE	CANDIDATE	12.69906000	184.9882000	833	2.6741		0.7160	88.24	0.104	0		26.800000	0.02850	2.54	692.0	5603.00	4.580	0.8200			0.5000	Active
768	10538176	K01301.02	CANDIDATE	CANDIDATE	37.51391000	189.3047000	841	5.3270		0.0296	89.95	0.214	0		55.200000	0.02629	2.34	483.0	5603.00	4.580	0.8200			0.5000	Active
769	10724369	K01302.01	CANDIDATE	CANDIDATE	55.63765000	187.5588000	863	6.9979		0.4100	89.38	0.286	0		57.000000	0.02720	2.70	463.0	5908.00	4.530	0.9000			0.4000	Active
770	6541920	K00157.04	CANDIDATE	CONFIRMED	46.68641000	225.0400000	518	6.4484		0.3141	89.38	0.252	0		54.000000	0.02104	2.43	514.0	5685.00	4.380	1.0600			7.2000	Active
771	10867062	K01303.01	CANDIDATE	CANDIDATE	34.29834000	143.6610000	786	19.1942		0.6660	86.52	0.200	0		10.700000	0.02696	4.28	654.0	5499.00	4.070	1.4600			14.0000	Active
772	10744335	K01304.01	CANDIDATE	CANDIDATE	4.59731000	136.4769000	280	2.9046		0.3300	88.24	0.055	0		11.600000	0.01530	1.55	1081.0	5973.00	4.520	0.9300			0.3000	Active
773	10730034	K01305.01	CANDIDATE	CANDIDATE	2.63389300	134.5595000	271	2.1635		0.4800	86.52	0.036	0		8.400000	0.01526	1.27	1092.0	5381.00	4.610	0.7600			0.6000	Active
774	10730034	K01305.02	CANDIDATE	CANDIDATE	6.18677000	136.6320000	214	2.8247		0.5000	88.24	0.063	0		14.800000	0.01362	1.13	825.0	5381.00	4.610	0.7600			0.6000	Active
775	10858691	K01306.01	CANDIDATE	CANDIDATE	1.80000000	133.3351720	205	1.7837		0.1476	88.81	0.029	0		7.734004	0.01310	1.33	1489.0	5969.00	4.510	0.9300			0.5000	Active
776	10858691	K01306.02	CANDIDATE	CANDIDATE	3.46805000	136.0078770	260	2.2396		0.0680	89.95	0.045	0		11.991505	0.01470	1.49	1196.0	5969.00	4.510	0.9300			0.5000	Active
777	10858691	K01306.03	CANDIDATE	CANDIDATE	5.91000000	133.4897470	247	2.5635		0.2955	88.81	0.065	0		17.116568	0.01450	1.46	995.0	5969.00	4.510	0.9300			0.5000	Active
778	10858691	K01306.04	CANDIDATE	CANDIDATE	29.22000000	139.3279500	353	4.0261		0.4835	89.38	0.187	0		49.653633	0.01760	1.80	587.0	5969.00	4.510	0.9300			0.5000	Active
779	10973814	K01307.01	CANDIDATE	CANDIDATE	44.85199000	172.4616000	785	3.5334		0.7800	89.38	0.241	0		65.000000	0.02830	3.10	520.0	5779.00	4.400	1.0000			7.6000	Active
780	7898352	K01486.02	CANDIDATE	CANDIDATE	30.18376000	146.6449000	925	5.8355		0.4410	89.38	0.191	0		36.700000	0.02782	2.80	577.0	5952.00	4.520	0.9200			0.5000	Active
781	12062667	K01487.01	FALSE POSITIVE	FALSE POSITIVE	2.92927950	133.7200000	374	4.8454		0.0210	89.95	0.043	0		4.647000	0.01788	2.70	1656.0	6654.00	4.270	1.3700			1.8700	Active
